Jogador,Time,Tipo,Linha,Odds,Conf,Season Avg,Last5 Avg,Matchup,Status
Antonio Reeves,Charlotte Hornets,POINTS,2.9,1.19,🟡 6.0,2.7,2.7,1.08x,✅ Ativo
Antonio Reeves,Charlotte Hornets,REBOUNDS,0.8,1.15,🟡 5.0,0.8,0.8,1.00x,✅ Ativo
Antonio Reeves,Charlotte Hornets,ASSISTS,0.2,1.1,🔴 4.0,0.3,0.3,0.83x,✅ Ativo
Brandon Miller,Charlotte Hornets,POINTS,20.4,1.74,🟢 10.0,20.4,20.4,1.00x,✅ Ativo
Brandon Miller,Charlotte Hornets,REBOUNDS,4.1,1.42,🟢 8.0,5,5,0.83x,✅ Ativo
Brandon Miller,Charlotte Hornets,ASSISTS,2.9,2.44,🟢 8.0,3.5,3.5,0.83x,✅ Ativo
Coby White,Charlotte Hornets,POINTS,17.2,1.66,🟢 9.0,15.9,15.9,1.08x,✅ Ativo
Coby White,Charlotte Hornets,REBOUNDS,3.3,1.32,🟡 7.0,3.3,3.3,1.00x,✅ Ativo
Coby White,Charlotte Hornets,ASSISTS,2.7,1.27,🟡 6.0,3.3,3.3,0.83x,✅ Ativo
Drew Peterson,Charlotte Hornets,POINTS,0.8,1.12,🔴 4.0,0.8,0.8,1.00x,✅ Ativo
Drew Peterson,Charlotte Hornets,REBOUNDS,1.2,1.26,🔴 3.0,1.5,1.5,0.83x,✅ Ativo
Drew Peterson,Charlotte Hornets,ASSISTS,0.2,1.18,🔴 3.0,0.3,0.3,0.83x,✅ Ativo
Josh Green,Charlotte Hornets,POINTS,4.9,1.31,🟢 8.0,4.5,4.5,1.08x,✅ Ativo
Josh Green,Charlotte Hornets,REBOUNDS,1.8,1.22,🟡 7.0,1.8,1.8,1.00x,✅ Ativo
Josh Green,Charlotte Hornets,ASSISTS,0.7,1.14,🟡 6.0,0.8,0.8,0.83x,✅ Ativo
Kon Knueppel,Charlotte Hornets,POINTS,20.3,1.75,🟢 10,18.8,18.8,1.08x,✅ Ativo
Kon Knueppel,Charlotte Hornets,REBOUNDS,5.4,1.53,🟢 10.0,5.4,5.4,1.00x,✅ Ativo
Kon Knueppel,Charlotte Hornets,ASSISTS,2.8,1.33,🟢 8.0,3.4,3.4,0.83x,✅ Ativo
LaMelo Ball,Charlotte Hornets,POINTS,21.2,1.77,🟢 10,19.6,19.6,1.08x,✅ Ativo
LaMelo Ball,Charlotte Hornets,REBOUNDS,4.8,1.49,🟢 9.0,4.8,4.8,1.00x,✅ Ativo
LaMelo Ball,Charlotte Hornets,ASSISTS,5.9,1.54,🟢 9.0,7.1,7.1,0.83x,✅ Ativo
Liam McNeeley,Charlotte Hornets,POINTS,6.5,1.33,🟡 5.0,4.4,8.5,1.08x,✅ Ativo
Liam McNeeley,Charlotte Hornets,REBOUNDS,3.8,1.52,🔴 3.0,2.4,6,1.00x,✅ Ativo
Liam McNeeley,Charlotte Hornets,ASSISTS,0.7,1.24,🔴 2.0,0.8,0,0.83x,✅ Ativo
Miles Bridges,Charlotte Hornets,POINTS,16.3,1.62,🟢 10,17.2,17.2,1.00x,✅ Ativo
Miles Bridges,Charlotte Hornets,REBOUNDS,4.6,1.45,🟢 9.0,5.8,5.8,0.83x,✅ Ativo
Miles Bridges,Charlotte Hornets,ASSISTS,2.5,1.31,🟢 9.0,3.2,3.2,0.83x,✅ Ativo
Moussa Diabate,Charlotte Hornets,POINTS,7.2,1.38,🟡 7.0,8,8,1.00x, ⚠️ QUESTIONABLE
Moussa Diabate,Charlotte Hornets,REBOUNDS,6.6,1.6,🟡 6.0,8.8,8.8,0.83x, ⚠️ QUESTIONABLE
Moussa Diabate,Charlotte Hornets,ASSISTS,1.3,1.24,🟡 5.0,1.8,1.8,0.83x, ⚠️ QUESTIONABLE
Pat Connaughton,Charlotte Hornets,POINTS,2.9,1.19,🟡 7.0,2.7,2.7,1.08x,✅ Ativo
Pat Connaughton,Charlotte Hornets,REBOUNDS,1.4,1.2,🟡 6.0,1.4,1.4,1.00x,✅ Ativo
Pat Connaughton,Charlotte Hornets,ASSISTS,0.3,1.1,🟡 5.0,0.4,0.4,0.83x,✅ Ativo
Ryan Kalkbrenner,Charlotte Hornets,POINTS,8,1.39,🟢 8.0,7.7,7.7,1.04x,✅ Ativo
Ryan Kalkbrenner,Charlotte Hornets,REBOUNDS,4.6,1.4,🟡 6.0,5.5,5.5,0.83x,✅ Ativo
Ryan Kalkbrenner,Charlotte Hornets,ASSISTS,0.7,1.14,🟡 6.0,0.8,0.8,0.83x,✅ Ativo
Sion James,Charlotte Hornets,POINTS,5.7,1.33,🟢 9.0,5.3,5.3,1.08x,✅ Ativo
Sion James,Charlotte Hornets,REBOUNDS,3.4,1.33,🟡 7.0,3.4,3.4,1.00x,✅ Ativo
Sion James,Charlotte Hornets,ASSISTS,1.7,1.2,🟡 6.0,2,2,0.83x,✅ Ativo
Tidjane Salaun,Charlotte Hornets,POINTS,5.6,1.33,🟡 6.0,6.2,6.2,1.00x, ⚠️ QUESTIONABLE
Tidjane Salaun,Charlotte Hornets,REBOUNDS,3.1,1.37,🔴 4.0,4.1,4.1,0.83x, ⚠️ QUESTIONABLE
Tidjane Salaun,Charlotte Hornets,ASSISTS,0.6,1.2,🔴 4.0,0.8,0.8,0.83x, ⚠️ QUESTIONABLE
Tre Mann,Charlotte Hornets,POINTS,6.2,1.35,🟢 9.0,5.7,5.7,1.08x,✅ Ativo
Tre Mann,Charlotte Hornets,REBOUNDS,1.8,1.22,🟡 7.0,1.8,1.8,1.00x,✅ Ativo
Tre Mann,Charlotte Hornets,ASSISTS,1.4,1.18,🟡 6.0,1.7,1.7,0.83x,✅ Ativo
Xavier Tillman,Charlotte Hornets,POINTS,0.8,1.32,🔴 2.0,0.4,1.5,1.00x,✅ Ativo
Xavier Tillman,Charlotte Hornets,REBOUNDS,2,1.44,🔴 1.0,1,4.5,0.83x,✅ Ativo
Xavier Tillman,Charlotte Hornets,ASSISTS,1.2,1.42,🔴 1.0,0.5,3,0.83x,✅ Ativo
Ben Sheppard,Indiana Pacers,POINTS,7.1,1.36,🟢 8.0,7.1,7.1,1.00x,✅ Ativo
Ben Sheppard,Indiana Pacers,REBOUNDS,2.5,1.25,🟡 6.0,3,3,0.83x,✅ Ativo
Ben Sheppard,Indiana Pacers,ASSISTS,1.5,1.19,🟡 6.0,1.8,1.8,0.83x,✅ Ativo
